,node_pair,transaction_num,min_timestamp,max_timestamp,time_interval,transaction_frequency
134,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe6ea7febb65f6fb46dc42dea2f873c67aadb1f72,21541,1439174352,1473635434,34461082,54.007079638416464
135,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x683feddafc2a8542744a4587de0c45626d7b8e68,21110,1439174352,1523450700,84276348,21.64194395324297
136,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x00587ffa0a43d793209e8e7c24f8ec55fd021220,20002,1439174352,1513338843,74164491,23.301889849146274
137,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x59e777f70939982dac9651eee7e6a121048b749a,20007,1439174352,1494461631,55287279,31.265868591579626
138,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x787f9c02fc5f4970ae51f2b5f7b4ee7c22b875b6,20097,1439174352,1471485676,32311324,53.7390792156954
139,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x5a7c3a0afec10b657476db4405240a762739234b,20917,1439174352,1470264329,31089977,58.12898478503216
140,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x06349274c7a13adf93f68ae534e142404a155b8e,19994,1439174352,1470264329,31089977,55.56393946512086
141,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe2ec6677e974d52fa5006211469bf81ca5cfa97f,19995,1439174352,1470264329,31089977,55.56671849580332
142,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x16644332bb8f5f2229c6825285958a13cbf127e7,20027,1439174352,1470264329,31089977,55.65564747764207
143,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x0bcba20fb3562fbcaf7c299fbcf7d2590479a3da,20011,1439174352,1470264329,31089977,55.611182986722696
144,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xeea71dc26083232a9e7a61b6a7836dc2428376cf,20064,1438941735,1547372642,108430907,15.98741214993249
145,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xd9c13364c95e5f8e35d4bd4830e974a0652f83d8,20178,1439174352,1493093258,53918906,32.33335631846833
146,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x295f7067f6e4182a32a4eff344af3daadfde10e5,23248,1439174352,1558426230,119251878,16.843568702540683
147,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x16aa904405cf81815f608ffe926ece969509293c,20058,1439174352,1532414844,93240492,18.586465631262435
148,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe8db85c6f80bf068a4508e3a315b20cacd8b2fce,19995,1439174352,1470264329,31089977,55.56671849580332
149,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x292797acfa0288a93401c7b7cde1d501c70a1be1,19996,1439174352,1470264329,31089977,55.56949752648579
150,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe7c375369e337cdc54d8e3edb2d030b5ed7f63e5,19994,1439174352,1470264329,31089977,55.56393946512086
151,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xdb5dc2cfcebafaa7d98292c1bf11c2937608729b,19994,1439174352,1470264329,31089977,55.56393946512086
152,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x6666fde341e0765abbfa85e7c154f26c29e180a1,20003,1439174352,1470264329,31089977,55.58895074126301
153,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x28f626e1d12b99701bf1ed7e853856ede028b486,19996,1439174352,1470264329,31089977,55.56949752648579
154,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xb807f4059f86ce14d01b82fc1eb496c7cd2db6ea,20089,1439174352,1472594605,33420253,51.93526212982289
155,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xf057b019703a4cce4850a018131d8ed6369f6efc,20230,1438966847,1470264329,31297482,55.84704865394603
156,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe5c985e12ca5c7d6b68052968d40312c875d4637,20440,1439174352,1494666736,55492384,31.824475228889067
157,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x0ae502d5084fde52cdeab47766c05dd73f5a3df8,19997,1439174352,1470264329,31089977,55.57227655716825
158,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x19ae27e1b61445eb9f27821a5eb4b3e957319e7e,24398,1439174352,1489279711,50105359,42.07109263502134
159,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x40c6bece82f6ef13eb49bded467e6d8aa48c5ef6,19997,1439174352,1470264329,31089977,55.57227655716825
160,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xa8fa0e8951ce9dde722934e742f8aa9f618b34ba,20254,1439174352,1518184142,79009790,22.148465399034727
161,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xc89cd9e30ab1c57c9b7fdf8e51b59a86048d08fa,19997,1439174352,1470264329,31089977,55.57227655716825
162,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xc1af7cd316c1a99d40dd7208172fd88dd0280a4d,19998,1439174352,1470264329,31089977,55.575055587850706
163,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xd4009b893e804b60a7a840267730d9e2c0052e55,19994,1439174352,1470264329,31089977,55.56393946512086
164,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x5a897024cd9ab0e4b140fec5f19143d5efbfebd9,19998,1439174352,1470264329,31089977,55.575055587850706
165,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xdb8207d158c5396e26545a979c7a788852f81eb6,20988,1439174352,1537530788,98356436,18.436650144582302
166,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x38dd392d8b9b5e5ab6edd96d6e677d575502dfc2,19998,1439174352,1470264329,31089977,55.575055587850706
167,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x2678d3a52f796b7fc9ba469579de3891af5f8a95,19997,1439174352,1470264329,31089977,55.57227655716825
168,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x6c5564dab8ce79be134362bc4d7257945a1faa66,20007,1439174352,1470264329,31089977,55.60006686399286
169,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x0e4abc0dad303d11570a7b99bd9eb5f3130b4831,20652,1439174352,1531437633,92263281,19.33957670549349
170,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe34490fc3a3a1939465ae913d44bfcaf74b59b5d,20917,1439174352,1470264329,31089977,58.12898478503216
171,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x3f5cd2b711eaf2131237650c2eb03732f1bea2cd,20191,1438926117,1512332660,73406543,23.764944223023825
172,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x3d31a7cdbf1b9952c1c4d567b97c54fc354e6a7b,20535,1439174352,1504272381,65098029,27.25465006014237
173,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x1f1f1f6faa77a31e6c9aef1ef25a6f6819177eeb,20013,1439174352,1470264329,31089977,55.61674104808762
174,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x83fdfd476caea5d514b9545805c269fc2441b2dd,19999,1439174352,1489791651,50617299,34.13681950907732
175,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xca6b1247e05188167cefacf2bf8425b68d52bf64,20005,1439174352,1517296161,78121809,22.124833284390533
176,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xd50ec384fedb1033ad98072b30a5315f71ce5bbb,20005,1439174352,1497755941,58581589,29.50469643286733
177,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xf139e449202bd167d3b34a53efe805b9479feadc,20027,1439174352,1470264329,31089977,55.65564747764207
